time,PM25_FY,PM25_CM
2018/1/18 9:00,10,25
2018/1/18 10:00,16,39
2018/1/18 11:00,26,33
2018/1/18 12:00,30,33
2018/1/18 13:00,33,28
2018/1/18 14:00,36,30
2018/1/18 15:00,,30
2018/1/18 16:00,36,28
2018/1/18 17:00,38,22
2018/1/18 18:00,31,26
2018/1/18 19:00,29,19
2018/1/18 20:00,29,26
2018/1/18 21:00,33,26
2018/1/18 22:00,40,35
2018/1/18 23:00,42,36
2018/1/19 0:00,43,38
2018/1/19 1:00,40,34
2018/1/19 2:00,33,29
2018/1/19 3:00,22,24
2018/1/19 4:00,11,15
2018/1/19 5:00,7,11
2018/1/19 6:00,5,6
2018/1/19 7:00,7,6
2018/1/19 8:00,7,6
2018/1/19 9:00,5,4
2018/1/19 10:00,4,11
2018/1/19 11:00,4,12
2018/1/19 12:00,4,16
2018/1/19 13:00,2,9
2018/1/19 14:00,7,11
2018/1/19 15:00,13,12
2018/1/19 16:00,17,15
2018/1/19 17:00,11,5
2018/1/19 18:00,11,6
2018/1/19 19:00,7,6
2018/1/19 20:00,7,11
2018/1/19 21:00,6,17
2018/1/19 22:00,16,24
2018/1/19 23:00,23,29
2018/1/20 0:00,24,25
2018/1/20 1:00,17,26
2018/1/20 2:00,16,24
2018/1/20 3:00,17,27
2018/1/20 4:00,20,21
2018/1/20 5:00,14,25
2018/1/20 6:00,14,27
2018/1/20 7:00,22,35
2018/1/20 8:00,21,33
2018/1/20 9:00,22,36
2018/1/20 10:00,16,37
2018/1/20 11:00,33,42
2018/1/20 12:00,37,36
2018/1/20 13:00,46,33
2018/1/20 14:00,40,33
2018/1/20 15:00,45,40
2018/1/20 16:00,34,40
2018/1/20 17:00,44,43
2018/1/20 18:00,47,53
2018/1/20 19:00,60,62
2018/1/20 21:00,58,56
2018/1/20 22:00,56,52
2018/1/20 23:00,46,47
2018/1/21 0:00,42,41
2018/1/21 1:00,37,38
2018/1/21 2:00,41,35
2018/1/21 3:00,37,36
2018/1/21 4:00,32,33
2018/1/21 5:00,29,35
2018/1/21 6:00,22,35
2018/1/21 7:00,16,35
2018/1/21 8:00,13,31
2018/1/21 9:00,17,22
2018/1/21 10:00,28,24
2018/1/21 11:00,32,27
2018/1/21 12:00,35,36
2018/1/21 13:00,34,38
2018/1/21 14:00,34,39
2018/1/21 15:00,28,36
2018/1/21 16:00,31,34
2018/1/21 17:00,33,34
2018/1/21 18:00,30,27
2018/1/21 19:00,28,26
2018/1/21 20:00,18,18
2018/1/21 21:00,24,30
2018/1/21 22:00,26,30
2018/1/21 23:00,37,40
2018/1/22 0:00,32,31
2018/1/22 1:00,28,33
2018/1/22 2:00,22,28
2018/1/22 3:00,21,19
2018/1/22 4:00,19,18
2018/1/22 5:00,22,13
2018/1/22 6:00,24,19
2018/1/22 7:00,19,18
2018/1/22 8:00,13,19
2018/1/22 9:00,13,22
2018/1/22 10:00,16,22
2018/1/22 11:00,22,25
2018/1/22 12:00,22,34
2018/1/22 13:00,28,38
2018/1/22 14:00,26,41
2018/1/22 16:00,35,19
2018/1/22 17:00,31,15
2018/1/22 18:00,26,13
2018/1/22 19:00,14,13
2018/1/22 20:00,14,11
2018/1/22 21:00,9,9
2018/1/22 22:00,10,15
2018/1/22 23:00,16,19
2018/1/23 0:00,16,12
2018/1/23 1:00,14,15
2018/1/23 2:00,14,5
2018/1/23 3:00,12,13
2018/1/23 4:00,11,6
2018/1/23 5:00,7,9
2018/1/23 6:00,22,6
2018/1/23 7:00,36,10
2018/1/23 8:00,35,19
2018/1/23 9:00,30,27
2018/1/23 10:00,21,34
2018/1/23 11:00,20,34
2018/1/23 12:00,22,22
2018/1/23 13:00,25,22
2018/1/23 14:00,22,13
2018/1/23 15:00,,21
2018/1/23 16:00,22,18
2018/1/23 17:00,22,21
2018/1/23 18:00,13,18
2018/1/23 19:00,17,21
2018/1/24 17:00,20,26
2018/1/24 18:00,20,28
2018/1/24 19:00,20,27
2018/1/24 20:00,26,28
2018/1/24 21:00,20,31
2018/1/24 22:00,20,28
2018/1/24 23:00,18,25
2018/1/25 0:00,16,13
2018/1/25 1:00,13,9
2018/1/25 2:00,14,11
2018/1/25 3:00,22,10
2018/1/25 4:00,25,16
2018/1/25 5:00,31,19
2018/1/25 6:00,19,20
2018/1/25 7:00,15,16
2018/1/25 8:00,10,11
2018/1/25 9:00,16,13
2018/1/25 10:00,15,9
2018/1/25 11:00,16,8
2018/1/25 12:00,10,10
2018/1/25 13:00,17,11
2018/1/25 14:00,14,8
2018/1/25 15:00,21,
2018/1/25 16:00,19,
2018/1/25 17:00,23,19
2018/1/25 18:00,19,19
2018/1/25 19:00,21,12
2018/1/25 20:00,17,15
2018/1/25 21:00,19,15
2018/1/25 22:00,11,21
2018/1/25 23:00,15,16
2018/1/26 0:00,14,12
2018/1/26 1:00,16,9
2018/1/26 2:00,13,12
2018/1/26 3:00,13,11
2018/1/26 4:00,13,12
2018/1/26 5:00,10,4
2018/1/26 6:00,13,2
2018/1/26 7:00,11,6
2018/1/26 8:00,13,12
2018/1/26 9:00,9,15
2018/1/26 10:00,14,12
2018/1/26 11:00,10,10
2018/1/26 12:00,10,12
2018/1/26 13:00,6,7
2018/1/26 14:00,5,7
2018/1/26 15:00,5,3
2018/1/26 16:00,3,1
2018/1/26 17:00,1,1
2018/1/26 18:00,4,5
2018/1/26 19:00,5,3
2018/1/26 20:00,9,5
2018/1/26 21:00,6,1
2018/1/26 22:00,6,6
2018/1/26 23:00,3,5
2018/1/27 0:00,3,5
2018/1/27 1:00,9,4
2018/1/27 2:00,8,4
2018/1/27 3:00,8,6
2018/1/27 4:00,1,3
2018/1/27 5:00,3,1
2018/1/27 6:00,3,1
2018/1/27 7:00,3,1
2018/1/27 8:00,7,6
2018/1/27 9:00,7,6
2018/1/27 10:00,7,8
2018/1/27 11:00,6,11
2018/1/27 12:00,24,12
2018/1/27 13:00,25,19
2018/1/27 14:00,29,18
2018/1/27 15:00,15,24
2018/1/27 16:00,22,19
2018/1/27 17:00,20,18
2018/1/27 18:00,25,23
2018/1/27 19:00,25,17
2018/1/27 20:00,18,16
2018/1/27 21:00,23,10
2018/1/27 22:00,25,13
2018/1/27 23:00,26,11
2018/1/28 0:00,20,10
2018/1/28 1:00,25,11
2018/1/28 2:00,33,13
2018/1/28 3:00,37,23
2018/1/28 4:00,31,29
2018/1/28 5:00,22,34
2018/1/28 6:00,14,19
2018/1/28 7:00,7,13
2018/1/28 8:00,9,11
2018/1/28 9:00,7,20
2018/1/28 10:00,6,22
2018/1/28 11:00,22,15
2018/1/28 12:00,20,16
2018/1/28 13:00,21,12
2018/1/28 14:00,2,12
2018/1/28 15:00,10,4
2018/1/28 16:00,7,8
2018/1/28 17:00,7,5
2018/1/28 18:00,3,6
2018/1/28 19:00,3,5
2018/1/28 20:00,4,5
2018/1/28 21:00,1,5
2018/1/28 22:00,2,1
2018/1/28 23:00,5,1
2018/1/29 0:00,5,1
2018/1/29 1:00,4,3
2018/1/29 2:00,1,3
2018/1/29 3:00,1,3
2018/1/29 4:00,6,3
2018/1/29 5:00,5,2
2018/1/29 6:00,6,3
2018/1/29 7:00,1,6
2018/1/29 8:00,4,10
2018/1/29 9:00,4,9
2018/1/29 10:00,,9
2018/1/29 11:00,,6
2018/1/29 12:00,7,8
2018/1/29 13:00,10,8
2018/1/29 14:00,6,6
2018/1/29 15:00,11,19
2018/1/29 16:00,12,15
2018/1/29 17:00,10,21
2018/1/29 18:00,11,8
2018/1/29 19:00,7,10
2018/1/29 20:00,10,9
2018/1/29 21:00,4,8
2018/1/29 22:00,4,12
2018/1/29 23:00,2,7
2018/1/30 0:00,3,12
2018/1/30 1:00,3,4
2018/1/30 2:00,1,10
2018/1/30 3:00,1,5
2018/1/30 4:00,4,9
2018/1/30 5:00,6,5
2018/1/30 6:00,8,15
2018/1/30 7:00,4,10
2018/1/30 8:00,2,5
2018/1/30 9:00,1,3
2018/1/30 10:00,6,6
2018/1/30 11:00,9,8
2018/1/30 12:00,14,10
2018/1/30 13:00,10,12
2018/1/30 14:00,14,11
2018/1/30 15:00,19,15
2018/1/30 16:00,23,
2018/1/30 17:00,16,18
2018/1/30 18:00,6,11
2018/1/30 19:00,8,10
2018/1/30 20:00,11,12
2018/1/30 21:00,17,9
2018/1/30 22:00,9,11
2018/1/30 23:00,6,12
2018/1/31 0:00,11,13
2018/1/31 1:00,13,11
2018/1/31 2:00,13,15
2018/1/31 3:00,9,15
2018/1/31 4:00,11,20
2018/1/31 5:00,19,10
2018/1/31 6:00,13,10
2018/1/31 7:00,16,8
2018/1/31 8:00,18,10
2018/1/31 9:00,21,13
2018/1/31 10:00,22,8
2018/1/31 11:00,12,13
2018/1/31 12:00,22,11
2018/1/31 13:00,13,15
2018/1/31 14:00,19,17
2018/1/31 15:00,13,17
2018/1/31 16:00,18,22
2018/1/31 17:00,13,19
2018/1/31 18:00,10,19
2018/1/31 19:00,4,8
2018/1/31 20:00,7,4
2018/1/31 21:00,3,1
2018/1/31 22:00,3,6
2018/1/31 23:00,1,10
2018/2/1 0:00,8,7
2018/2/1 1:00,8,2
2018/2/1 2:00,10,1
2018/2/1 3:00,2,1
2018/2/1 4:00,4,8
2018/2/1 5:00,3,10
2018/2/1 6:00,7,15
2018/2/1 7:00,9,15
2018/2/1 8:00,14,8
2018/2/1 9:00,16,19
2018/2/1 10:00,19,24
2018/2/1 11:00,21,37
2018/2/1 12:00,24,36
2018/2/1 13:00,27,39
2018/2/1 14:00,24,37
2018/2/1 15:00,27,38
2018/2/1 16:00,22,35
2018/2/1 17:00,22,29
2018/2/1 18:00,17,36
2018/2/1 19:00,14,36
2018/2/1 20:00,8,39
2018/2/1 21:00,4,21
2018/2/1 22:00,2,18
2018/2/1 23:00,2,10
2018/2/2 0:00,1,17
2018/2/2 1:00,10,8
2018/2/2 2:00,10,13
2018/2/2 3:00,13,7
2018/2/2 4:00,4,16
2018/2/2 5:00,7,13
2018/2/2 6:00,3,12
2018/2/2 7:00,4,12
2018/2/2 8:00,1,19
2018/2/2 9:00,3,18
2018/2/2 10:00,5,17
2018/2/2 11:00,9,11
2018/2/2 12:00,7,18
2018/2/2 13:00,14,18
2018/2/2 14:00,11,11
2018/2/2 15:00,11,10
2018/2/2 16:00,9,9
2018/2/2 17:00,9,12
2018/2/2 18:00,11,17
2018/2/2 19:00,9,11
2018/2/2 20:00,9,12
2018/2/2 21:00,10,13
2018/2/2 22:00,9,20
2018/2/2 23:00,13,24
2018/2/3 0:00,11,17
2018/2/3 1:00,18,20
2018/2/3 2:00,15,21
2018/2/3 3:00,23,25
2018/2/3 4:00,16,23
2018/2/3 5:00,27,28
2018/2/3 6:00,25,28
2018/2/3 7:00,29,40
2018/2/3 8:00,25,46
2018/2/3 9:00,30,52
2018/2/3 10:00,38,47
2018/2/3 11:00,36,39
2018/2/3 12:00,33,36
2018/2/3 13:00,27,34
2018/2/3 14:00,31,35
2018/2/3 15:00,33,41
2018/2/3 16:00,36,40
2018/2/3 17:00,31,39
2018/2/3 18:00,27,30
2018/2/3 19:00,21,23
2018/2/3 20:00,16,16
2018/2/3 21:00,11,7
2018/2/5 15:00,5,11
2018/2/5 16:00,9,15
2018/2/5 17:00,5,23
2018/2/5 18:00,4,17
2018/2/5 19:00,9,19
2018/2/5 20:00,16,18
2018/2/5 21:00,23,19
2018/2/5 22:00,18,18
2018/2/5 23:00,13,18
2018/2/6 0:00,17,17
2018/2/6 1:00,15,21
2018/2/6 2:00,20,18
2018/2/6 3:00,13,17
2018/2/6 4:00,10,17
2018/2/6 5:00,11,19
2018/2/6 6:00,14,24
2018/2/6 7:00,15,21
2018/2/6 8:00,7,23
2018/2/6 9:00,4,18
2018/2/6 10:00,8,
2018/2/6 11:00,11,11
2018/2/6 12:00,13,9
2018/2/6 13:00,14,11
2018/2/6 14:00,14,23
2018/2/6 15:00,22,22
2018/2/6 16:00,17,26
2018/2/6 17:00,16,22
2018/2/6 18:00,12,27
2018/2/6 19:00,15,24
2018/2/6 20:00,15,23
2018/2/6 21:00,14,22
2018/2/6 22:00,15,21
2018/2/6 23:00,21,23
2018/2/7 0:00,18,20
2018/2/7 1:00,13,18
2018/2/7 2:00,10,15
2018/2/7 3:00,5,17
2018/2/7 4:00,16,18
2018/2/7 5:00,15,23
2018/2/7 6:00,21,29
2018/2/7 7:00,18,30
2018/2/7 8:00,23,29
2018/2/7 9:00,22,25
2018/2/7 10:00,26,34
2018/2/7 11:00,26,36
2018/2/7 12:00,32,41
2018/2/7 13:00,40,35
2018/2/7 14:00,38,36
2018/2/7 15:00,37,33
2018/2/7 16:00,20,29
2018/2/7 17:00,23,26
2018/2/7 18:00,18,18
2018/2/7 19:00,16,23
2018/2/7 20:00,5,16
2018/2/7 21:00,2,17
2018/2/7 22:00,10,11
2018/2/7 23:00,10,18
2018/2/8 0:00,12,20
2018/2/8 1:00,5,21
2018/2/8 2:00,6,12
2018/2/8 3:00,1,10
2018/2/8 4:00,5,2
2018/2/8 5:00,4,8
2018/2/8 6:00,6,10
2018/2/8 7:00,1,18
2018/2/8 8:00,1,13
2018/2/8 9:00,1,15
2018/2/8 10:00,1,12
2018/2/8 11:00,1,11
2018/2/8 12:00,6,5
2018/2/8 13:00,8,8
2018/2/8 14:00,8,11
2018/2/8 15:00,12,21
2018/2/8 16:00,11,15
2018/2/8 17:00,13,19
2018/2/8 18:00,2,13
2018/2/8 19:00,12,21
2018/2/8 20:00,14,15
2018/2/8 21:00,15,24
2018/2/8 22:00,12,24
2018/2/8 23:00,12,29
2018/2/9 0:00,18,23
2018/2/9 1:00,18,23
2018/2/9 2:00,14,24
2018/2/9 3:00,10,19
2018/2/9 4:00,8,25
2018/2/9 5:00,14,18
2018/2/9 6:00,21,25
2018/2/9 7:00,16,15
2018/2/9 8:00,11,23
2018/2/9 9:00,5,24
2018/2/9 10:00,11,31
2018/2/9 11:00,24,26
2018/2/9 12:00,26,25
2018/2/9 13:00,25,19
2018/2/9 14:00,17,26
2018/2/9 15:00,23,36
2018/2/9 16:00,25,42
2018/2/9 17:00,30,43
2018/2/9 18:00,24,39
2018/2/9 19:00,30,38
2018/2/9 20:00,26,39
2018/2/9 21:00,30,42
2018/2/9 22:00,32,47
2018/2/9 23:00,34,54
2018/2/10 0:00,36,57
2018/2/10 1:00,34,58
2018/2/10 2:00,28,48
2018/2/10 3:00,33,39
2018/2/10 4:00,25,41
2018/2/10 5:00,35,37
2018/2/10 6:00,25,38
2018/2/10 7:00,23,31
2018/2/10 8:00,21,31
2018/2/10 9:00,13,35
2018/2/10 10:00,15,28
2018/2/10 11:00,25,24
2018/2/10 12:00,25,21
2018/2/10 13:00,23,18
2018/2/10 14:00,11,27
2018/2/10 15:00,11,35
2018/2/10 16:00,9,34
2018/2/10 17:00,12,22
2018/2/10 18:00,15,8
2018/2/10 19:00,16,13
2018/2/10 20:00,6,19
2018/2/10 21:00,8,21
2018/2/10 22:00,12,20
2018/2/10 23:00,20,22
2018/2/11 0:00,23,31
2018/2/11 1:00,19,27
2018/2/11 2:00,18,19
2018/2/11 3:00,13,7
2018/2/11 4:00,10,6
2018/2/11 5:00,7,5
2018/2/11 6:00,5,3
2018/2/11 7:00,12,6
2018/2/11 8:00,14,7
2018/2/11 9:00,14,9
2018/2/11 10:00,14,9
2018/2/11 11:00,11,15
2018/2/11 12:00,11,10
2018/2/11 13:00,9,13
2018/2/11 14:00,10,11
2018/2/11 15:00,12,25
2018/2/11 16:00,16,19
2018/2/11 17:00,18,23
2018/2/11 18:00,20,25
2018/2/11 19:00,27,28
2018/2/11 20:00,21,29
2018/2/11 21:00,25,22
2018/2/11 22:00,14,21
2018/2/11 23:00,14,24
2018/2/12 0:00,6,19
2018/2/12 1:00,16,21
2018/2/12 2:00,24,18
2018/2/12 3:00,29,17
2018/2/12 4:00,14,20
2018/2/12 5:00,10,13
2018/2/12 6:00,4,17
2018/2/12 7:00,16,18
2018/2/12 8:00,12,21
2018/2/12 9:00,17,27
2018/2/12 10:00,13,18
2018/2/12 11:00,17,23
2018/2/12 12:00,11,19
2018/2/12 13:00,21,20
2018/2/12 14:00,19,21
2018/2/12 15:00,27,30
2018/2/12 16:00,18,37
2018/2/12 17:00,22,39
2018/2/12 18:00,19,34
2018/2/12 19:00,28,35
2018/2/12 20:00,28,37
2018/2/12 21:00,34,41
2018/2/12 22:00,29,41
2018/2/12 23:00,29,33
2018/2/13 0:00,23,25
2018/2/13 1:00,24,23
2018/2/13 2:00,22,27
2018/2/13 3:00,23,31
2018/2/13 4:00,15,28
2018/2/13 5:00,16,24
